Ranking by Total Referral Bonus Earned,User ID,Yesterday Referral Bonus Earned (BTC),Traded,Account Balance > 1 USDT,Time Invited
128,84110178,0.00000023 BTC,YES,YES,2021-03-13 18:00:37
129,145011047,0.00000023 BTC,YES,YES,2021-05-07 08:11:34
130,119025411,0.00000018 BTC,YES,YES,2021-04-27 13:23:23
131,146788097,0.00000018 BTC,YES,YES,2021-05-08 16:37:28
133,144384190,0.00000017 BTC,YES,YES,2021-05-06 14:42:46
132,145023571,0.00000017 BTC,YES,YES,2021-05-06 22:21:01
134,144491282,0.00000013 BTC,YES,YES,2021-05-06 19:18:47
135,145060561,0.00000011 BTC,YES,YES,2021-05-06 22:49:43
136,148354870,0.00000011 BTC,YES,YES,2021-05-09 02:28:09
137,145598037,0.00000008 BTC,YES,YES,2021-05-07 10:13:28
139,144992140,0.00000006 BTC,YES,YES,2021-05-07 16:22:34
138,170576203,0.00000006 BTC,YES,YES,2021-05-28 16:09:25
140,66728365,0.00000004 BTC,YES,NO,2021-01-17 23:03:09
141,158302988,0.00000003 BTC,YES,YES,2021-05-14 22:06:34
142,39897529,0.00000000 BTC,NO,NO,2020-05-10 14:59:04
143,41643864,0.00000000 BTC,NO,NO,2020-05-15 22:49:58
144,35038243,0.00000000 BTC,NO,NO,2020-05-28 22:04:08
145,39222436,0.00000000 BTC,NO,NO,2020-06-18 10:50:56
146,43071402,0.00000000 BTC,NO,NO,2020-06-23 17:15:09
147,43220259,0.00000000 BTC,NO,NO,2020-06-26 00:23:40
148,43251284,0.00000000 BTC,NO,NO,2020-06-26 17:30:23
149,43322655,0.00000000 BTC,NO,NO,2020-06-28 12:35:27
150,43363048,0.00000000 BTC,NO,YES,2020-06-29 13:44:57
151,43370655,0.00000000 BTC,NO,NO,2020-06-29 17:26:14
152,43716642,0.00000000 BTC,NO,NO,2020-07-05 13:17:14
153,44576085,0.00000000 BTC,NO,NO,2020-07-15 23:01:43
154,16177530,0.00000000 BTC,NO,NO,2020-07-20 12:10:57
155, ,0.00000000 BTC,NO,NO,2020-07-20 12:11:07
156,20125722,0.00000000 BTC,NO,NO,2020-07-27 21:57:08
157,45643310,0.00000000 BTC,NO,YES,2020-07-31 19:05:34
158,46145409,0.00000000 BTC,NO,NO,2020-08-05 10:31:56
159,46873025,0.00000000 BTC,NO,YES,2020-08-13 17:24:18
160,48280774,0.00000000 BTC,NO,NO,2020-08-27 17:29:10
161,49776835,0.00000000 BTC,NO,YES,2020-09-13 10:06:43
162,50128541,0.00000000 BTC,NO,NO,2020-09-15 13:37:19
163,51621158,0.00000000 BTC,NO,NO,2020-09-23 00:34:31
164,51832880,0.00000000 BTC,NO,NO,2020-09-26 14:52:04
165,51843425,0.00000000 BTC,NO,NO,2020-09-26 17:42:34
166,51850608,0.00000000 BTC,NO,NO,2020-09-26 19:53:38
167,51850750,0.00000000 BTC,NO,NO,2020-09-26 19:58:39
168,51943301,0.00000000 BTC,NO,NO,2020-09-28 12:13:13
169,51957580,0.00000000 BTC,NO,NO,2020-09-28 16:24:59
170,52027379,0.00000000 BTC,NO,NO,2020-09-29 17:16:59
171,52432159,0.00000000 BTC,NO,NO,2020-10-04 16:48:39
172,51850328,0.00000000 BTC,NO,NO,2020-10-09 18:25:23
173,51884590,0.00000000 BTC,NO,NO,2020-10-15 16:08:11
